og:50 op: 0 ig:27 | 1.00 | 1.33 | 2025-10-08 15:49:10
og:50 op: 0 ig:28 | 1.04 | 1.33 | 2025-10-08 15:49:11
og:50 op: 0 ig:29 | 0.64 | 1.33 | 2025-10-08 15:49:11
og:50 op: 0 ig:30 | 0.87 | 1.33 | 2025-10-08 15:49:12
og:50 op: 0 ig:31 | 0.89 | 1.33 | 2025-10-08 15:49:12
og:50 op: 0 ig:32 | 0.68 | 1.33 | 2025-10-08 15:49:13
og:50 op: 0 ig:33 | 1.08 | 1.33 | 2025-10-08 15:49:13
og:50 op: 0 ig:34 | 1.59 | 1.59 | 2025-10-08 15:49:14
og:50 op: 0 ig:35 | 1.64 | 1.64 | 2025-10-08 15:49:15
og:50 op: 0 ig:36 | 1.64 | 1.64 | 2025-10-08 15:49:15
og:50 op: 0 ig:37 | 1.59 | 1.64 | 2025-10-08 15:49:16
og:50 op: 0 ig:38 | 1.85 | 1.85 | 2025-10-08 15:49:16
og:50 op: 0 ig:39 | 2.03 | 2.03 | 2025-10-08 15:49:17
og:50 op: 1 ig: 0 | 0.29 | 0.29 | 2025-10-08 15:49:17
og:50 op: 1 ig: 1 | 0.02 | 0.29 | 2025-10-08 15:49:18
og:50 op: 1 ig: 2 | 0.08 | 0.29 | 2025-10-08 15:49:18
og:50 op: 1 ig: 3 | 0.20 | 0.29 | 2025-10-08 15:49:19
og:50 op: 1 ig: 4 | -0.02 | 0.29 | 2025-10-08 15:49:20
og:50 op: 1 ig: 5 | 0.93 | 0.93 | 2025-10-08 15:49:20
og:50 op: 1 ig: 6 | 0.90 | 0.93 | 2025-10-08 15:49:21
og:50 op: 1 ig: 7 | 1.10 | 1.10 | 2025-10-08 15:49:21
og:50 op: 1 ig: 8 | 0.43 | 1.10 | 2025-10-08 15:49:22
og:50 op: 1 ig: 9 | 0.86 | 1.10 | 2025-10-08 15:49:22
og:50 op: 1 ig:10 | 1.32 | 1.32 | 2025-10-08 15:49:23
og:50 op: 1 ig:11 | 1.77 | 1.77 | 2025-10-08 15:49:23
og:50 op: 1 ig:12 | 0.81 | 1.77 | 2025-10-08 15:49:24
og:50 op: 1 ig:13 | 1.30 | 1.77 | 2025-10-08 15:49:25
og:50 op: 1 ig:14 | 1.26 | 1.77 | 2025-10-08 15:49:25
og:50 op: 1 ig:15 | 1.79 | 1.79 | 2025-10-08 15:49:26
og:50 op: 1 ig:16 | 3.04 | 3.04 | 2025-10-08 15:49:26
og:50 op: 1 ig:17 | 1.68 | 3.04 | 2025-10-08 15:49:27
og:50 op: 1 ig:18 | 0.86 | 3.04 | 2025-10-08 15:49:27
og:50 op: 1 ig:19 | 2.78 | 3.04 | 2025-10-08 15:49:28
og:50 op: 1 ig:20 | 1.91 | 3.04 | 2025-10-08 15:49:28
og:50 op: 1 ig:21 | 2.52 | 3.04 | 2025-10-08 15:49:29
og:50 op: 1 ig:22 | 2.40 | 3.04 | 2025-10-08 15:49:29
og:50 op: 1 ig:23 | 4.22 | 4.22 | 2025-10-08 15:49:30
og:50 op: 1 ig:24 | 4.22 | 4.22 | 2025-10-08 15:49:31
og:50 op: 1 ig:25 | 2.85 | 4.22 | 2025-10-08 15:49:31
og:50 op: 1 ig:26 | 2.92 | 4.22 | 2025-10-08 15:49:32
og:50 op: 1 ig:27 | 2.06 | 4.22 | 2025-10-08 15:49:32
og:50 op: 1 ig:28 | 2.67 | 4.22 | 2025-10-08 15:49:33
og:50 op: 1 ig:29 | 2.15 | 4.22 | 2025-10-08 15:49:34
og:50 op: 1 ig:30 | 2.76 | 4.22 | 2025-10-08 15:49:34
og:50 op: 1 ig:31 | 2.96 | 4.22 | 2025-10-08 15:49:35
og:50 op: 1 ig:32 | 3.35 | 4.22 | 2025-10-08 15:49:35
og:50 op: 1 ig:33 | 3.15 | 4.22 | 2025-10-08 15:49:36
og:50 op: 1 ig:34 | 2.28 | 4.22 | 2025-10-08 15:49:36
og:50 op: 1 ig:35 | 3.14 | 4.22 | 2025-10-08 15:49:37
og:50 op: 1 ig:36 | 2.94 | 4.22 | 2025-10-08 15:49:37
og:50 op: 1 ig:37 | 2.69 | 4.22 | 2025-10-08 15:49:38
og:50 op: 1 ig:38 | 2.53 | 4.22 | 2025-10-08 15:49:38
og:50 op: 1 ig:39 | 2.58 | 4.22 | 2025-10-08 15:49:39
og:50 op: 2 ig: 0 | 0.09 | 0.09 | 2025-10-08 15:49:39
og:50 op: 2 ig: 1 | 0.33 | 0.33 | 2025-10-08 15:49:40
og:50 op: 2 ig: 2 | 0.35 | 0.35 | 2025-10-08 15:49:40
og:50 op: 2 ig: 3 | 0.31 | 0.35 | 2025-10-08 15:49:41
og:50 op: 2 ig: 4 | 0.82 | 0.82 | 2025-10-08 15:49:41
og:50 op: 2 ig: 5 | 0.35 | 0.82 | 2025-10-08 15:49:42
